"Windenergie op land; productie en capaciteit naar ashoogte"
""
""
"Onderwerp";"Windmolens|In gebruik genomen windmolens";"Windmolens|In gebruik genomen windmolens";"Windmolens|In gebruik genomen windmolens";"Windmolens|In gebruik genomen windmolens";"Windmolens|In gebruik genomen windmolens";"Windmolens|Uit gebruik genomen windmolens";"Windmolens|Uit gebruik genomen windmolens";"Windmolens|Uit gebruik genomen windmolens";"Windmolens|Uit gebruik genomen windmolens";"Windmolens|Uit gebruik genomen windmolens";"Windmolens|Opgestelde windmolens einde van jaar";"Windmolens|Opgestelde windmolens einde van jaar";"Windmolens|Opgestelde windmolens einde van jaar";"Windmolens|Opgestelde windmolens einde van jaar";"Windmolens|Opgestelde windmolens einde van jaar";"Rotoroppervlak|In gebruik genomen rotoroppervlak";"Rotoroppervlak|In gebruik genomen rotoroppervlak";"Rotoroppervlak|In gebruik genomen rotoroppervlak";"Rotoroppervlak|In gebruik genomen rotoroppervlak";"Rotoroppervlak|In gebruik genomen rotoroppervlak";"Rotoroppervlak|Uit gebruik genomen rotoroppervlak";"Rotoroppervlak|Uit gebruik genomen rotoroppervlak";"Rotoroppervlak|Uit gebruik genomen rotoroppervlak";"Rotoroppervlak|Uit gebruik genomen rotoroppervlak";"Rotoroppervlak|Uit gebruik genomen rotoroppervlak";"Rotoroppervlak|Opgesteld rotoroppervlak einde jaar";"Rotoroppervlak|Opgesteld rotoroppervlak einde jaar";"Rotoroppervlak|Opgesteld rotoroppervlak einde jaar";"Rotoroppervlak|Opgesteld rotoroppervlak einde jaar";"Rotoroppervlak|Opgesteld rotoroppervlak einde jaar";"Elektrisch vermogen|In gebruik genomen vemogen";"Elektrisch vermogen|In gebruik genomen vemogen";"Elektrisch vermogen|In gebruik genomen vemogen";"Elektrisch vermogen|In gebruik genomen vemogen";"Elektrisch vermogen|In gebruik genomen vemogen";"Elektrisch vermogen|Uit gebruik genomen vermogen";"Elektrisch vermogen|Uit gebruik genomen vermogen";"Elektrisch vermogen|Uit gebruik genomen vermogen";"Elektrisch vermogen|Uit gebruik genomen vermogen";"Elektrisch vermogen|Uit gebruik genomen vermogen";"Elektrisch vermogen|Opgesteld vermogen einde jaar";"Elektrisch vermogen|Opgesteld vermogen einde jaar";"Elektrisch vermogen|Opgesteld vermogen einde jaar";"Elektrisch vermogen|Opgesteld vermogen einde jaar";"Elektrisch vermogen|Opgesteld vermogen einde jaar"
"1998";"5";"21";"36";"";"";"15";"2";"";"";"";"339";"795";"59";"";"";"3";"29";"72";"";"";"4";"2";"";"";"";"148";"604";"110";"";"";"1";"11";"29";"";"";"2";"1";"";"";"";"70";"249";"45";"";""
"1999";"5";"31";"33";"1";"";"4";"6";"";"";"";"340";"820";"92";"1";"";"3";"41";"70";"2";"";"1";"2";"";"";"";"150";"643";"180";"2";"";"1";"17";"30";"1";"";"0";"1";"";"";"";"70";"265";"74";"1";""
"2000";"";"16";"30";"1";"";"5";"4";"";"";"";"335";"832";"122";"2";"";"";"17";"69";"4";"";"2";"1";"";"";"";"148";"659";"249";"6";"";"";"6";"30";"2";"";"1";"0";"";"";"";"69";"271";"104";"2";""
"2001";"";"20";"40";"";"";"6";"3";"";"";"";"329";"849";"162";"2";"";"";"29";"92";"";"";"2";"3";"";"";"";"147";"685";"341";"6";"";"";"11";"29";"";"";"1";"1";"";"";"";"69";"280";"134";"2";""
"2002";"2";"13";"117";"21";"";"3";"37";"1";"";"";"328";"825";"278";"23";"";"1";"22";"349";"86";"";"0";"28";"1";"";"";"147";"679";"690";"92";"";"0";"8";"150";"42";"";"0";"13";"0";"";"";"69";"276";"283";"45";""
"2003";"1";"56";"122";"21";"";"10";"40";"6";"";"";"319";"841";"394";"44";"";"0";"116";"378";"72";"";"3";"13";"10";"";"";"144";"782";"1058";"165";"";"0";"47";"160";"36";"";"1";"5";"4";"";"";"68";"317";"440";"81";""
"2004";"3";"53";"87";"25";"";"23";"85";"4";"";"";"299";"809";"477";"69";"";"2";"112";"218";"130";"";"9";"60";"7";"";"";"137";"833";"1269";"295";"";"1";"46";"98";"61";"";"4";"28";"3";"";"";"65";"335";"534";"141";""
"2005";"3";"42";"46";"33";"1";"15";"53";"1";"";"";"287";"798";"522";"102";"1";"1";"82";"127";"161";"7";"4";"36";"2";"";"";"134";"878";"1394";"456";"7";"0";"34";"57";"72";"2";"2";"15";"1";"";"";"63";"354";"591";"214";"2"
"2006";"";"24";"57";"36";"4";"18";"13";"5";"";"";"269";"809";"574";"138";"5";"";"45";"248";"174";"25";"7";"6";"11";"";"";"127";"917";"1630";"630";"32";"";"19";"120";"90";"12";"3";"2";"5";"";"";"60";"371";"706";"303";"14"
"2007";"1";"15";"33";"71";"3";"47";"10";"4";"";"1";"223";"814";"603";"209";"7";"1";"28";"132";"318";"16";"24";"11";"12";"";"7";"104";"933";"1750";"947";"41";"0";"12";"58";"135";"7";"11";"4";"5";"";"2";"49";"378";"759";"438";"19"
"2008";"1";"8";"27";"20";"75";"21";"14";"8";"1";"";"203";"808";"622";"228";"82";"0";"15";"60";"106";"423";"9";"12";"14";"4";"";"95";"936";"1796";"1049";"464";"0";"7";"23";"50";"217";"5";"4";"5";"2";"";"45";"380";"777";"486";"236"
"2009";"1";"5";"12";"6";"28";"11";"107";"";"";"";"193";"706";"634";"234";"110";"0";"9";"27";"34";"154";"3";"85";"";"";"";"92";"861";"1823";"1083";"618";"0";"3";"11";"14";"81";"1";"35";"";"";"";"44";"348";"788";"500";"317"
"2010";"6";"4";"11";"7";"";"4";"23";"1";"";"";"195";"687";"644";"241";"110";"0";"7";"25";"26";"";"2";"28";"3";"";"";"91";"839";"1845";"1109";"618";"0";"3";"11";"16";"";"1";"14";"1";"";"";"43";"337";"797";"515";"317"
"2011";"1";"6";"12";"26";"2";"24";"8";"10";"";"";"172";"685";"646";"267";"112";"0";"11";"41";"160";"12";"18";"11";"37";"";"";"73";"839";"1849";"1268";"630";"0";"4";"23";"67";"4";"8";"4";"8";"";"";"36";"337";"812";"582";"321"
"2012";"";"10";"12";"19";"24";"12";"39";"9";"5";"";"160";"656";"649";"281";"136";"";"19";"41";"104";"188";"5";"40";"28";"30";"";"68";"818";"1862";"1342";"819";"";"8";"23";"48";"82";"2";"15";"14";"13";"";"34";"330";"822";"617";"403"
"2013";"";"6";"2";"34";"69";"";"11";"5";"";"";"160";"651";"646";"315";"205";"";"13";"8";"262";"505";"";"14";"25";"";"";"68";"816";"1845";"1604";"1324";"";"5";"5";"87";"199";"";"5";"10";"";"";"34";"330";"816";"703";"602"
"2014";"2";"11";"1";"9";"39";"";"3";"7";"1";"";"162";"659";"640";"323";"244";"0";"19";"2";"61";"312";"";"5";"26";"4";"";"69";"830";"1821";"1662";"1636";"0";"9";"1";"28";"132";"";"2";"13";"2";"";"34";"337";"804";"729";"734"
"2015";"";"28";"5";"52";"63";"59";"74";"10";"1";"";"103";"613";"635";"374";"307";"";"62";"20";"425";"558";"26";"74";"25";"3";"";"43";"818";"1815";"2083";"2194";"";"24";"12";"140";"278";"16";"30";"11";"2";"";"18";"332";"805";"868";"1012"
"2016";"2";"4";"4";"19";"69";"15";"42";"22";"9";"";"90";"575";"617";"384";"376";"0";"8";"27";"149";"655";"6";"34";"49";"39";"";"36";"791";"1793";"2193";"2850";"0";"4";"9";"49";"261";"3";"15";"20";"18";"";"15";"320";"794";"898";"1273"
"2017";"21";"19";"6";"6";"12";"25";"34";"27";"36";"3";"86";"560";"596";"354";"385";"2";"41";"25";"21";"157";"12";"42";"97";"138";"17";"26";"791";"1721";"2077";"2990";"0";"16";"14";"8";"47";"5";"16";"42";"68";"8";"10";"320";"765";"838";"1311"
"2018";"0";"0";"6";"20";"40";"1";"7";"8";"0";"2";"85";"553";"594";"374";"423";"0";"0";"14";"200";"418";"0";"7";"19";"0";"13";"26";"784";"1716";"2277";"3395";"0";"0";"14";"70";"124";"0";"3";"7";"0";"6";"10";"318";"772";"908";"1429"
"2019";"0";"2";"7";"5";"35";"0";"11";"25";"7";"3";"85";"544";"576";"372";"455";"0";"3";"27";"33";"421";"0";"19";"77";"44";"28";"26";"768";"1667";"2266";"3788";"0";"2";"16";"12";"130";"0";"8";"30";"21";"9";"10";"312";"757";"899";"1550"
"2020";"0";"4";"3";"20";"179";"7";"39";"30";"1";"11";"78";"509";"549";"391";"623";"0";"6";"12";"93";"2141";"3";"27";"87";"2";"93";"23";"746";"1592";"2357";"5837";"0";"3";"6";"44";"692";"1";"10";"39";"1";"33";"9";"304";"725";"942";"2209"
"2021";"0";"1";"1";"55";"228";"2";"38";"46";"10";"0";"76";"472";"504";"436";"851";"0";"2";"5";"623";"3042";"0";"48";"161";"64";"0";"23";"701";"1436";"2916";"8879";"0";"1";"3";"216";"928";"0";"20";"73";"28";"0";"9";"285";"654";"1130";"3136"
"2022**";"0";"8";"0";"44";"203";"5";"19";"48";"12";"1";"71";"461";"456";"468";"1053";"0";"14";"0";"513";"2998";"1";"25";"185";"42";"6";"22";"690";"1252";"3386";"11870";"0";"7";"0";"185";"893";"1";"10";"82";"20";"3";"8";"283";"573";"1296";"4026"
"2023**";".";".";".";".";".";".";".";".";".";".";"71";"460";"445";"493";"1152";".";".";".";".";".";".";".";".";".";".";"22";"690";"1208";"3707";"13750";".";".";".";".";".";".";".";".";".";".";"9";"283";"546";"1391";"4583"
"Bron: CBS"
